,Store,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,CompetitionOpenSince,Promo2Since,StoreType_a,StoreType_b,StoreType_c,StoreType_d,Assortment_a,Assortment_b,Assortment_c
0,1,1270.0,09,2008,0,01,1800,None,2008-09-01,1800-01-05,0,0,1,0,1,0,0
1,2,570.0,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",2007-11-01,2010-03-28,1,0,0,0,1,0,0
2,3,14130.0,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",2006-12-01,2011-04-03,1,0,0,0,1,0,0
3,4,620.0,09,2009,0,01,1800,None,2009-09-01,1800-01-05,0,0,1,0,0,0,1
4,5,29910.0,04,2015,0,01,1800,None,2015-04-01,1800-01-05,1,0,0,0,1,0,0
5,6,310.0,12,2013,0,01,1800,None,2013-12-01,1800-01-05,1,0,0,0,1,0,0
6,7,24000.0,04,2013,0,01,1800,None,2013-04-01,1800-01-05,1,0,0,0,0,0,1
7,8,7520.0,10,2014,0,01,1800,None,2014-10-01,1800-01-05,1,0,0,0,1,0,0
8,9,2030.0,08,2000,0,01,1800,None,2000-08-01,1800-01-05,1,0,0,0,0,0,1
9,10,3160.0,09,2009,0,01,1800,None,2009-09-01,1800-01-05,1,0,0,0,1,0,0
10,11,960.0,11,2011,1,01,2012,"Jan,Apr,Jul,Oct",2011-11-01,2012-01-01,1,0,0,0,0,0,1
11,12,1070.0,01,1800,1,13,2010,"Jan,Apr,Jul,Oct",1800-01-01,2010-03-28,1,0,0,0,0,0,1
12,13,310.0,01,1800,1,45,2009,"Feb,May,Aug,Nov",1800-01-01,2009-11-08,0,0,0,1,1,0,0
13,14,1300.0,03,2014,1,40,2011,"Jan,Apr,Jul,Oct",2014-03-01,2011-10-02,1,0,0,0,1,0,0
14,15,4110.0,03,2010,1,14,2011,"Jan,Apr,Jul,Oct",2010-03-01,2011-04-03,0,0,0,1,0,0,1
15,16,3270.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,0,0,1
16,17,50.0,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",2005-12-01,2010-06-27,1,0,0,0,1,0,0
17,18,13840.0,06,2010,1,14,2012,"Jan,Apr,Jul,Oct",2010-06-01,2012-04-01,0,0,0,1,0,0,1
18,19,3240.0,01,1800,1,22,2011,"Mar,Jun,Sept,Dec",1800-01-01,2011-05-29,1,0,0,0,0,0,1
19,20,2340.0,05,2009,1,40,2014,"Jan,Apr,Jul,Oct",2009-05-01,2014-10-05,0,0,0,1,1,0,0
20,21,550.0,10,1999,1,45,2009,"Jan,Apr,Jul,Oct",1999-10-01,2009-11-08,0,0,1,0,0,0,1
21,22,1040.0,01,1800,1,22,2012,"Jan,Apr,Jul,Oct",1800-01-01,2012-05-27,1,0,0,0,1,0,0
22,23,4060.0,08,2005,0,01,1800,None,2005-08-01,1800-01-05,0,0,0,1,1,0,0
23,24,4590.0,03,2000,1,40,2011,"Jan,Apr,Jul,Oct",2000-03-01,2011-10-02,1,0,0,0,0,0,1
24,25,430.0,04,2003,0,01,1800,None,2003-04-01,1800-01-05,0,0,1,0,1,0,0
25,26,2300.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,0,0,0,1,1,0,0
26,27,60.0,01,2005,1,05,2011,"Jan,Apr,Jul,Oct",2005-01-01,2011-01-30,1,0,0,0,1,0,0
27,28,1200.0,10,2014,1,06,2015,"Mar,Jun,Sept,Dec",2014-10-01,2015-02-08,1,0,0,0,1,0,0
28,29,2170.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,0,0,0,1,0,0,1
29,30,40.0,02,2014,1,10,2014,"Mar,Jun,Sept,Dec",2014-02-01,2014-03-09,1,0,0,0,1,0,0
30,31,9800.0,07,2012,0,01,1800,None,2012-07-01,1800-01-05,0,0,0,1,0,0,1
31,32,2910.0,01,1800,1,45,2009,"Feb,May,Aug,Nov",1800-01-01,2009-11-08,1,0,0,0,1,0,0
32,33,1320.0,05,2013,0,01,1800,None,2013-05-01,1800-01-05,1,0,0,0,0,0,1
33,34,2240.0,09,2009,0,01,1800,None,2009-09-01,1800-01-05,0,0,1,0,1,0,0
34,35,7660.0,10,2000,1,01,2012,"Jan,Apr,Jul,Oct",2000-10-01,2012-01-01,0,0,0,1,0,0,1
35,36,540.0,06,2003,1,40,2014,"Jan,Apr,Jul,Oct",2003-06-01,2014-10-05,1,0,0,0,0,0,1
36,37,4230.0,12,2014,0,01,1800,None,2014-12-01,1800-01-05,0,0,1,0,1,0,0
37,38,1090.0,04,2007,0,01,1800,None,2007-04-01,1800-01-05,0,0,0,1,1,0,0
38,39,260.0,10,2006,1,31,2013,"Feb,May,Aug,Nov",2006-10-01,2013-08-04,1,0,0,0,1,0,0
39,40,180.0,01,1800,1,45,2009,"Feb,May,Aug,Nov",1800-01-01,2009-11-08,1,0,0,0,1,0,0
40,41,1180.0,01,1800,1,31,2013,"Jan,Apr,Jul,Oct",1800-01-01,2013-08-04,0,0,0,1,0,0,1
41,42,290.0,01,1800,1,40,2011,"Jan,Apr,Jul,Oct",1800-01-01,2011-10-02,1,0,0,0,0,0,1
42,43,4880.0,01,1800,1,37,2009,"Jan,Apr,Jul,Oct",1800-01-01,2009-09-13,0,0,0,1,1,0,0
43,44,540.0,06,2011,0,01,1800,None,2011-06-01,1800-01-05,1,0,0,0,1,0,0
44,45,9710.0,02,2014,0,01,1800,None,2014-02-01,1800-01-05,0,0,0,1,1,0,0
45,46,1200.0,09,2005,1,14,2011,"Jan,Apr,Jul,Oct",2005-09-01,2011-04-03,0,0,1,0,1,0,0
46,47,270.0,04,2013,1,14,2013,"Jan,Apr,Jul,Oct",2013-04-01,2013-04-07,1,0,0,0,0,0,1
47,48,1060.0,05,2012,0,01,1800,None,2012-05-01,1800-01-05,1,0,0,0,1,0,0
48,49,18010.0,09,2007,0,01,1800,None,2007-09-01,1800-01-05,0,0,0,1,0,0,1
49,50,6260.0,11,2009,0,01,1800,None,2009-11-01,1800-01-05,0,0,0,1,1,0,0
50,51,10570.0,07,2013,1,09,2011,"Jan,Apr,Jul,Oct",2013-07-01,2011-02-27,1,0,0,0,0,0,1
51,52,450.0,04,2014,1,39,2010,"Jan,Apr,Jul,Oct",2014-04-01,2010-09-26,0,0,0,1,0,0,1
52,53,30360.0,09,2013,0,01,1800,None,2013-09-01,1800-01-05,1,0,0,0,0,0,1
53,54,7170.0,08,2014,1,05,2013,"Feb,May,Aug,Nov",2014-08-01,2013-02-03,0,0,0,1,0,0,1
54,55,720.0,11,2004,0,01,1800,None,2004-11-01,1800-01-05,1,0,0,0,1,0,0
55,56,6620.0,03,2012,1,10,2014,"Mar,Jun,Sept,Dec",2012-03-01,2014-03-09,0,0,0,1,0,0,1
56,57,420.0,06,2014,0,01,1800,None,2014-06-01,1800-01-05,0,0,0,1,0,0,1
57,58,7340.0,05,2008,1,27,2012,"Jan,Apr,Jul,Oct",2008-05-01,2012-07-01,1,0,0,0,0,0,1
58,59,2840.0,06,2007,1,14,2011,"Jan,Apr,Jul,Oct",2007-06-01,2011-04-03,1,0,0,0,0,0,1
59,60,5540.0,10,2009,0,01,1800,None,2009-10-01,1800-01-05,0,0,0,1,0,0,1
60,61,350.0,12,2007,1,01,2012,"Jan,Apr,Jul,Oct",2007-12-01,2012-01-01,1,0,0,0,0,0,1
61,62,2050.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,1,0,0
62,63,3700.0,06,2010,1,18,2010,"Feb,May,Aug,Nov",2010-06-01,2010-05-02,0,0,1,0,0,0,1
63,64,22560.0,01,1800,1,14,2013,"Jan,Apr,Jul,Oct",1800-01-01,2013-04-07,0,0,0,1,0,0,1
64,65,13840.0,05,2010,1,01,2012,"Jan,Apr,Jul,Oct",2010-05-01,2012-01-01,1,0,0,0,0,0,1
65,66,7660.0,01,1800,1,37,2009,"Jan,Apr,Jul,Oct",1800-01-01,2009-09-13,0,0,0,1,1,0,0
66,67,410.0,02,2006,0,01,1800,None,2006-02-01,1800-01-05,1,0,0,0,0,0,1
67,68,250.0,01,1800,1,35,2012,"Mar,Jun,Sept,Dec",1800-01-01,2012-08-26,1,0,0,0,0,0,1
68,69,1130.0,01,1800,1,40,2011,"Jan,Apr,Jul,Oct",1800-01-01,2011-10-02,0,0,1,0,0,0,1
69,70,4840.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,0,0,1,0,0,0,1
70,71,17500.0,08,2008,1,37,2009,"Mar,Jun,Sept,Dec",2008-08-01,2009-09-13,1,0,0,0,1,0,0
71,72,2200.0,12,2009,1,13,2010,"Jan,Apr,Jul,Oct",2009-12-01,2010-03-28,1,0,0,0,1,0,0
72,73,1650.0,09,2008,0,01,1800,None,2008-09-01,1800-01-05,1,0,0,0,0,0,1
73,74,330.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,1,0,0
74,75,22440.0,12,2013,0,01,1800,None,2013-12-01,1800-01-05,0,0,0,1,0,0,1
75,76,19960.0,03,2006,0,01,1800,None,2006-03-01,1800-01-05,0,0,0,1,0,0,1
76,77,1090.0,08,2009,1,10,2014,"Jan,Apr,Jul,Oct",2009-08-01,2014-03-09,0,0,0,1,0,0,1
77,78,3510.0,11,2006,1,05,2013,"Feb,May,Aug,Nov",2006-11-01,2013-02-03,1,0,0,0,1,0,0
78,79,3320.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,1,0,0
79,80,7910.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,0,0,0,1,1,0,0
80,81,2370.0,03,2011,1,40,2014,"Jan,Apr,Jul,Oct",2011-03-01,2014-10-05,1,0,0,0,1,0,0
81,82,22390.0,04,2008,1,37,2009,"Jan,Apr,Jul,Oct",2008-04-01,2009-09-13,1,0,0,0,1,0,0
82,83,2710.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,1,0,0
83,84,11810.0,08,2014,0,01,1800,None,2014-08-01,1800-01-05,1,0,0,0,0,0,1
84,85,1870.0,10,2011,0,01,1800,None,2011-10-01,1800-01-05,0,1,0,0,1,0,0
85,86,480.0,02,2005,1,31,2013,"Jan,Apr,Jul,Oct",2005-02-01,2013-08-04,1,0,0,0,1,0,0
86,87,560.0,12,2010,0,01,1800,None,2010-12-01,1800-01-05,1,0,0,0,1,0,0
87,88,10690.0,10,2005,0,01,1800,None,2005-10-01,1800-01-05,1,0,0,0,1,0,0
88,89,2380.0,07,2004,1,40,2014,"Jan,Apr,Jul,Oct",2004-07-01,2014-10-05,1,0,0,0,1,0,0
89,90,330.0,11,2007,0,01,1800,None,2007-11-01,1800-01-05,1,0,0,0,1,0,0
90,91,2410.0,01,1800,1,35,2011,"Jan,Apr,Jul,Oct",1800-01-01,2011-08-28,0,0,1,0,1,0,0
91,92,240.0,01,1800,1,45,2009,"Feb,May,Aug,Nov",1800-01-01,2009-11-08,0,0,1,0,1,0,0
92,93,16690.0,01,1800,1,14,2011,"Jan,Apr,Jul,Oct",1800-01-01,2011-04-03,1,0,0,0,1,0,0
93,94,14620.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,0,0,0,1,0,0,1
94,95,1890.0,10,2014,0,01,1800,None,2014-10-01,1800-01-05,1,0,0,0,1,0,0
95,96,8780.0,02,2005,1,37,2009,"Jan,Apr,Jul,Oct",2005-02-01,2009-09-13,1,0,0,0,1,0,0
96,97,8980.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,0,0,0,1,0,0,1
97,98,15140.0,12,2006,1,01,2012,"Jan,Apr,Jul,Oct",2006-12-01,2012-01-01,0,0,0,1,0,0,1
98,99,2030.0,11,2003,1,22,2012,"Mar,Jun,Sept,Dec",2003-11-01,2012-05-27,0,0,1,0,0,0,1
99,100,17930.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,0,0,0,1,1,0,0
100,101,2440.0,01,1800,1,22,2012,"Mar,Jun,Sept,Dec",1800-01-01,2012-05-27,0,0,0,1,0,0,1
101,102,150.0,12,2007,1,10,2014,"Mar,Jun,Sept,Dec",2007-12-01,2014-03-09,1,0,0,0,1,0,0
102,103,5210.0,05,2015,0,01,1800,None,2015-05-01,1800-01-05,0,0,0,1,0,0,1
103,104,390.0,06,2009,0,01,1800,None,2009-06-01,1800-01-05,1,0,0,0,1,0,0
104,105,6190.0,01,1800,1,23,2013,"Mar,Jun,Sept,Dec",1800-01-01,2013-06-09,1,0,0,0,0,0,1
105,106,1390.0,08,2013,0,01,1800,None,2013-08-01,1800-01-05,1,0,0,0,1,0,0
106,107,1930.0,09,2009,0,01,1800,None,2009-09-01,1800-01-05,1,0,0,0,1,0,0
107,108,2190.0,09,2003,0,01,1800,None,2003-09-01,1800-01-05,0,0,0,1,0,0,1
108,109,3300.0,11,2010,0,01,1800,None,2010-11-01,1800-01-05,1,0,0,0,0,0,1
109,110,46590.0,04,2013,0,01,1800,None,2013-04-01,1800-01-05,1,0,0,0,0,0,1
110,111,7890.0,01,1800,1,37,2009,"Jan,Apr,Jul,Oct",1800-01-01,2009-09-13,0,0,0,1,0,0,1
111,112,1630.0,09,2009,0,01,1800,None,2009-09-01,1800-01-05,1,0,0,0,1,0,0
112,113,20930.0,11,1999,0,01,1800,None,1999-11-01,1800-01-05,0,0,0,1,0,0,1
113,114,4510.0,01,1800,1,48,2011,"Mar,Jun,Sept,Dec",1800-01-01,2011-11-27,0,0,1,0,1,0,0
114,115,5740.0,04,2007,1,40,2014,"Jan,Apr,Jul,Oct",2007-04-01,2014-10-05,0,0,0,1,0,0,1
115,116,680.0,04,2013,0,01,1800,None,2013-04-01,1800-01-05,1,0,0,0,1,0,0
116,117,3450.0,09,2011,0,01,1800,None,2011-09-01,1800-01-05,1,0,0,0,1,0,0
117,118,3580.0,09,2012,0,01,1800,None,2012-09-01,1800-01-05,0,0,0,1,0,0,1
118,119,2100.0,02,2010,0,01,1800,None,2010-02-01,1800-01-05,1,0,0,0,0,0,1
119,120,2290.0,12,2014,1,37,2009,"Jan,Apr,Jul,Oct",2014-12-01,2009-09-13,0,0,0,1,1,0,0
120,121,3570.0,11,2009,1,36,2013,"Mar,Jun,Sept,Dec",2009-11-01,2013-09-08,1,0,0,0,1,0,0
121,122,58260.0,04,2013,0,01,1800,None,2013-04-01,1800-01-05,1,0,0,0,0,0,1
122,123,16760.0,09,2011,0,01,1800,None,2011-09-01,1800-01-05,1,0,0,0,1,0,0
123,124,1410.0,04,2003,0,01,1800,None,2003-04-01,1800-01-05,1,0,0,0,1,0,0
124,125,760.0,12,2005,0,01,1800,None,2005-12-01,1800-01-05,1,0,0,0,1,0,0
125,126,3370.0,10,2014,1,18,2011,"Feb,May,Aug,Nov",2014-10-01,2011-05-01,0,0,0,1,1,0,0
126,127,1350.0,12,2005,1,13,2010,"Jan,Apr,Jul,Oct",2005-12-01,2010-03-28,0,0,0,1,1,0,0
127,128,2000.0,01,1800,1,01,2013,"Jan,Apr,Jul,Oct",1800-01-01,2013-01-06,0,0,0,1,0,0,1
128,129,2460.0,01,1800,1,14,2011,"Jan,Apr,Jul,Oct",1800-01-01,2011-04-03,1,0,0,0,1,0,0
129,130,900.0,01,1800,1,13,2010,"Jan,Apr,Jul,Oct",1800-01-01,2010-03-28,0,0,1,0,1,0,0
130,131,920.0,07,2015,0,01,1800,None,2015-07-01,1800-01-05,0,0,1,0,1,0,0
131,132,1040.0,01,1800,1,27,2012,"Jan,Apr,Jul,Oct",1800-01-01,2012-07-01,0,0,0,1,0,0,1
132,133,270.0,08,2013,1,10,2014,"Mar,Jun,Sept,Dec",2013-08-01,2014-03-09,1,0,0,0,1,0,0
133,134,1200.0,09,2008,0,01,1800,None,2008-09-01,1800-01-05,1,0,0,0,1,0,0
134,135,5190.0,01,1800,1,01,2013,"Jan,Apr,Jul,Oct",1800-01-01,2013-01-06,0,0,0,1,1,0,0
135,136,2200.0,12,2010,1,22,2012,"Feb,May,Aug,Nov",2010-12-01,2012-05-27,1,0,0,0,0,0,1
136,137,1730.0,07,2015,1,40,2014,"Jan,Apr,Jul,Oct",2015-07-01,2014-10-05,1,0,0,0,1,0,0
137,138,25360.0,10,2014,0,01,1800,None,2014-10-01,1800-01-05,1,0,0,0,0,0,1
138,139,1700.0,01,2008,1,14,2011,"Jan,Apr,Jul,Oct",2008-01-01,2011-04-03,1,0,0,0,1,0,0
139,140,1090.0,07,2010,1,01,2013,"Jan,Apr,Jul,Oct",2010-07-01,2013-01-06,1,0,0,0,0,0,1
140,141,1540.0,01,1800,1,22,2012,"Mar,Jun,Sept,Dec",1800-01-01,2012-05-27,0,0,1,0,0,0,1
141,142,1090.0,07,2002,0,01,1800,None,2002-07-01,1800-01-05,1,0,0,0,1,0,0
142,143,2930.0,12,2002,0,01,1800,None,2002-12-01,1800-01-05,0,0,0,1,1,0,0
143,144,16570.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,0,0,1
144,145,280.0,01,1800,1,45,2009,"Feb,May,Aug,Nov",1800-01-01,2009-11-08,1,0,0,0,1,0,0
145,146,8050.0,10,1961,1,48,2012,"Jan,Apr,Jul,Oct",1961-10-01,2012-11-25,0,0,0,1,0,0,1
146,147,8540.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,0,0,0,1,0,0,1
147,148,2090.0,12,2008,0,01,1800,None,2008-12-01,1800-01-05,1,0,0,0,1,0,0
148,149,2610.0,07,2006,1,14,2011,"Jan,Apr,Jul,Oct",2006-07-01,2011-04-03,0,0,0,1,1,0,0
149,150,31830.0,03,2010,0,01,1800,None,2010-03-01,1800-01-05,0,0,1,0,0,0,1
150,151,4360.0,10,2005,0,01,1800,None,2005-10-01,1800-01-05,0,0,0,1,0,0,1
151,152,1780.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,1,0,0
152,153,16240.0,10,2000,1,18,2011,"Feb,May,Aug,Nov",2000-10-01,2011-05-01,1,0,0,0,1,0,0
153,154,16420.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,0,0,0,1,0,0,1
154,155,3050.0,01,1800,1,35,2010,"Jan,Apr,Jul,Oct",1800-01-01,2010-08-29,0,0,0,1,1,0,0
155,156,2020.0,02,2011,1,14,2011,"Mar,Jun,Sept,Dec",2011-02-01,2011-04-03,1,0,0,0,1,0,0
156,157,2950.0,10,2004,0,01,1800,None,2004-10-01,1800-01-05,1,0,0,0,0,0,1
157,158,11840.0,01,1800,1,31,2009,"Feb,May,Aug,Nov",1800-01-01,2009-08-02,0,0,0,1,0,0,1
158,159,8530.0,03,2013,0,01,1800,None,2013-03-01,1800-01-05,0,0,0,1,1,0,0
159,160,17110.0,11,2005,0,01,1800,None,2005-11-01,1800-01-05,0,0,0,1,0,0,1
160,161,2970.0,03,2005,0,01,1800,None,2005-03-01,1800-01-05,1,0,0,0,0,0,1
161,162,5340.0,03,2012,1,13,2010,"Jan,Apr,Jul,Oct",2012-03-01,2010-03-28,0,0,0,1,0,0,1
162,163,1480.0,04,2009,0,01,1800,None,2009-04-01,1800-01-05,1,0,0,0,1,0,0
163,164,1160.0,09,2005,1,13,2010,"Jan,Apr,Jul,Oct",2005-09-01,2010-03-28,1,0,0,0,1,0,0
164,165,3720.0,04,2005,1,13,2010,"Jan,Apr,Jul,Oct",2005-04-01,2010-03-28,1,0,0,0,1,0,0
165,166,100.0,04,2014,1,31,2013,"Jan,Apr,Jul,Oct",2014-04-01,2013-08-04,1,0,0,0,0,0,1
166,167,140.0,04,2008,0,01,1800,None,2008-04-01,1800-01-05,1,0,0,0,1,0,0
167,168,12540.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,1,0,0
168,169,980.0,07,2014,1,18,2014,"Feb,May,Aug,Nov",2014-07-01,2014-05-04,0,0,0,1,1,0,0
169,170,1070.0,05,2015,1,14,2011,"Jan,Apr,Jul,Oct",2015-05-01,2011-04-03,1,0,0,0,1,0,0
170,171,2640.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,1,0,0
171,172,110.0,01,1800,1,40,2014,"Jan,Apr,Jul,Oct",1800-01-01,2014-10-05,1,0,0,0,1,0,0
172,173,350.0,12,2012,0,01,1800,None,2012-12-01,1800-01-05,1,0,0,0,1,0,0
173,174,13090.0,01,1800,1,22,2012,"Jan,Apr,Jul,Oct",1800-01-01,2012-05-27,1,0,0,0,1,0,0
174,175,4130.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,0,0,1,0,1,0,0
175,176,3770.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,1,0,0
176,177,1250.0,02,2004,1,05,2013,"Feb,May,Aug,Nov",2004-02-01,2013-02-03,1,0,0,0,1,0,0
177,178,1710.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,0,0,0,1,1,0,0
178,179,480.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,0,0,1
179,180,5800.0,09,2010,0,01,1800,None,2010-09-01,1800-01-05,0,0,0,1,1,0,0
180,181,12610.0,03,2013,1,14,2011,"Jan,Apr,Jul,Oct",2013-03-01,2011-04-03,1,0,0,0,1,0,0
181,182,1390.0,01,1800,1,09,2011,"Mar,Jun,Sept,Dec",1800-01-01,2011-02-27,0,0,0,1,0,0,1
182,183,9670.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,1,0,0
183,184,3560.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,0,0,0,1,0,0,1
184,185,1860.0,05,2015,0,01,1800,None,2015-05-01,1800-01-05,0,0,0,1,0,0,1
185,186,290.0,10,2011,1,40,2014,"Jan,Apr,Jul,Oct",2011-10-01,2014-10-05,1,0,0,0,1,0,0
186,187,19360.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,0,0,1
187,188,850.0,01,1800,1,18,2011,"Feb,May,Aug,Nov",1800-01-01,2011-05-01,0,0,0,1,1,0,0
188,189,5760.0,07,2014,0,01,1800,None,2014-07-01,1800-01-05,0,0,0,1,1,0,0
189,190,1470.0,12,2006,1,40,2014,"Jan,Apr,Jul,Oct",2006-12-01,2014-10-05,1,0,0,0,1,0,0
190,191,1100.0,08,2013,1,40,2014,"Jan,Apr,Jul,Oct",2013-08-01,2014-10-05,1,0,0,0,1,0,0
191,192,2770.0,03,2008,1,40,2014,"Jan,Apr,Jul,Oct",2008-03-01,2014-10-05,0,0,0,1,0,0,1
192,193,520.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,1,0,0
193,194,16970.0,01,1800,1,05,2013,"Feb,May,Aug,Nov",1800-01-01,2013-02-03,0,0,0,1,0,0,1
194,195,220.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,0,0,1
195,196,3850.0,11,2005,1,14,2011,"Jan,Apr,Jul,Oct",2005-11-01,2011-04-03,0,0,1,0,1,0,0
196,197,4210.0,03,2015,0,01,1800,None,2015-03-01,1800-01-05,0,0,1,0,1,0,0
197,198,290.0,09,2002,1,13,2010,"Jan,Apr,Jul,Oct",2002-09-01,2010-03-28,1,0,0,0,1,0,0
198,199,6360.0,12,2010,1,14,2012,"Mar,Jun,Sept,Dec",2010-12-01,2012-04-01,0,0,0,1,0,0,1
199,200,1650.0,10,2000,0,01,1800,None,2000-10-01,1800-01-05,1,0,0,0,1,0,0
200,201,20260.0,01,1800,1,18,2014,"Mar,Jun,Sept,Dec",1800-01-01,2014-05-04,0,0,0,1,1,0,0
201,202,5140.0,05,2010,0,01,1800,None,2010-05-01,1800-01-05,0,0,0,1,0,0,1
202,203,490.0,11,2002,0,01,1800,None,2002-11-01,1800-01-05,0,0,1,0,0,0,1
203,204,5630.0,12,2002,1,40,2014,"Jan,Apr,Jul,Oct",2002-12-01,2014-10-05,1,0,0,0,1,0,0
204,205,110.0,12,2007,0,01,1800,None,2007-12-01,1800-01-05,1,0,0,0,1,0,0
205,206,380.0,01,1800,1,14,2012,"Jan,Apr,Jul,Oct",1800-01-01,2012-04-01,1,0,0,0,0,0,1
206,207,6870.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,1,0,0,0,1,0,0
207,208,300.0,04,2006,0,01,1800,None,2006-04-01,1800-01-05,0,0,1,0,1,0,0
208,209,11680.0,09,2011,1,31,2013,"Jan,Apr,Jul,Oct",2011-09-01,2013-08-04,1,0,0,0,0,0,1
209,210,970.0,11,1999,1,05,2013,"Feb,May,Aug,Nov",1999-11-01,2013-02-03,0,0,0,1,1,0,0
210,211,350.0,11,2006,0,01,1800,None,2006-11-01,1800-01-05,1,0,0,0,0,0,1
211,212,15050.0,09,2008,0,01,1800,None,2008-09-01,1800-01-05,1,0,0,0,0,0,1
212,213,4030.0,03,2014,1,01,2014,"Jan,Apr,Jul,Oct",2014-03-01,2014-01-05,0,0,0,1,0,0,1
213,214,8650.0,07,2013,1,10,2014,"Jan,Apr,Jul,Oct",2013-07-01,2014-03-09,0,0,0,1,1,0,0
214,215,150.0,01,1800,1,45,2009,"Feb,May,Aug,Nov",1800-01-01,2009-11-08,0,0,0,1,1,0,0
215,216,190.0,01,1800,1,45,2009,"Feb,May,Aug,Nov",1800-01-01,2009-11-08,0,0,1,0,1,0,0
216,217,3150.0,01,1800,0,01,1800,None,1800-01-01,1800-01-05,0,0,1,0,1,0,0
217,218,640.0,01,1800,1,09,2011,"Mar,Jun,Sept,Dec",1800-01-01,2011-02-27,1,0,0,0,0,0,1
218,219,1640.0,02,2013,0,01,1800,None,2013-02-01,1800-01-05,1,0,0,0,1,0,0
219,220,1000.0,09,2008,0,01,1800,None,2008-09-01,1800-01-05,1,0,0,0,1,0,0
220,221,13530.0,09,2013,0,01,1800,None,2013-09-01,1800-01-05,0,0,0,1,0,0,1
221,222,2170.0,11,2008,0,01,1800,None,2008-11-01,1800-01-05,1,0,0,0,1,0,0
222,223,2920.0,10,1995,1,27,2011,"Jan,Apr,Jul,Oct",1995-10-01,2011-07-03,0,0,0,1,0,0,1
